_id,階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
31,5,13204,従業地・通学地／三鷹市,17976,16254,2142,15,32,32,56,41,18,31,52,38,58,62,505,66,106,473,35,36,16,43,278,52,25,72,14097,183,87,271,11359,43,277,37,516,79,189,124,81,71,110,63,17,80,18,22,42,18,66,105,23,24,192,15,14,1,-,-,-,-,-,-,-,-,-,-,-,-,1722,1492,70,40,35,558,278,511,230
32,5,13205,従業地・通学地／青梅市,8167,8095,9,-,-,-,1,-,-,-,1,1,-,1,-,-,-,1,-,1,1,1,1,-,-,-,7975,80,49,4,2,7233,17,104,3,6,9,22,31,10,13,10,62,-,32,2,6,46,2,1,100,121,10,111,58,27,1,25,-,-,-,-,-,-,-,-,-,-,72,67,2,1,1,42,5,16,5
33,5,13206,従業地・通学地／府中市,23254,22171,632,6,4,4,16,11,5,10,22,15,15,29,151,9,29,113,12,18,9,28,70,21,13,22,21525,423,222,100,231,38,17711,110,482,84,211,194,297,99,300,203,16,73,50,18,29,33,246,225,35,35,60,14,11,2,-,1,-,-,-,-,-,-,-,-,-,-,1083,945,33,20,20,312,132,428,138
34,5,13207,従業地・通学地／昭島市,8543,8440,46,-,-,2,1,1,1,-,1,1,1,1,3,-,3,15,2,-,-,1,11,2,-,-,8324,256,187,13,5,183,62,6754,7,14,27,70,110,34,57,40,95,3,72,6,7,67,29,18,67,126,15,69,49,17,2,1,1,1,-,-,-,-,-,-,-,-,103,95,2,1,-,42,13,37,8
35,5,13208,従業地・通学地／調布市,21763,19586,2704,18,17,155,64,44,14,17,53,55,81,69,1002,200,62,455,37,23,17,51,161,24,29,56,16875,361,51,246,550,7,526,28,13588,212,140,84,120,50,79,68,3,157,21,11,14,9,234,193,7,6,110,7,4,2,-,1,-,-,-,-,-,-,-,-,-,-,2177,1955,75,35,30,443,282,1090,222
36,5,13209,従業地・通学地／町田市,50017,37870,2014,12,21,50,48,26,16,22,59,60,66,164,785,85,61,115,31,39,25,57,98,53,41,80,35828,1309,91,32,57,47,179,45,256,32308,32,58,177,46,56,40,21,178,34,17,13,29,429,277,26,36,35,25,17,6,-,2,3,2,-,1,-,-,-,-,-,-,12147,11579,150,87,100,636,407,10199,568
37,5,13210,従業地・通学地／小金井市,16837,14010,2147,8,25,24,64,43,16,23,82,55,34,71,279,55,161,479,37,55,20,85,352,50,30,99,11840,308,189,359,301,88,433,114,139,120,7363,583,182,194,314,119,47,26,88,83,192,45,64,85,55,46,303,23,13,6,2,2,-,-,-,-,-,-,-,-,-,-,2827,2562,89,41,60,1138,299,935,265
38,5,13211,従業地・通学地／小平市,20905,18513,1579,9,7,16,80,21,23,26,47,44,34,56,145,28,136,231,44,37,21,63,385,39,35,52,16877,304,413,136,111,120,268,165,68,75,274,12378,153,391,524,120,68,24,285,106,191,112,55,42,83,124,287,57,35,18,2,2,-,-,-,-,-,-,-,-,-,-,2392,2099,60,38,39,1177,269,516,293
39,5,13212,従業地・通学地／日野市,17215,15451,471,2,2,8,13,3,5,9,27,12,11,36,71,9,19,62,13,16,9,25,63,11,14,31,14938,1102,220,30,50,123,317,124,121,160,54,90,11616,52,86,97,39,17,86,18,20,66,225,53,59,70,43,42,29,10,-,3,-,-,-,-,-,-,-,-,-,-,1764,1502,51,22,41,543,123,722,262
40,5,13213,従業地・通学地／東村山市,10842,10395,342,-,2,1,13,4,3,-,2,2,3,3,20,5,33,77,9,6,1,8,143,3,1,3,10045,76,93,34,30,38,73,36,15,12,54,206,38,8587,99,23,20,1,180,57,115,64,10,8,26,39,111,8,4,3,-,1,-,-,-,-,-,-,-,-,-,-,447,429,2,-,4,383,10,30,18
