year,地域コード,昼間通学者／総数（人）,昼間通学者／男（人）,昼間通学者／女（人）,常住通学者／総数（人）,常住通学者／男（人）,常住通学者／女（人）,流入通学者／総数（人）,流入通学者／男（人）,流入通学者／女（人）,流出通学者／総数（人）,流出通学者／男（人）,流出通学者／女（人）,流入超過通学者／総数（人）,流入超過通学者／男（人）,流入超過通学者／女（人）,残留通学者／総数（人）,残留通学者／男（人）,残留通学者／女（人）,昼夜間通学者比率／総数,昼夜間通学者比率／男,昼夜間通学者比率／女
2015,13381,142.0,90.0,52.0,142.0,90.0,52.0,4.0,2.0,2.0,4.0,2.0,2.0,,,,138.0,88.0,50.0,100.0,100.0,100.0
2015,13382,23.0,13.0,10.0,19.0,12.0,7.0,4.0,1.0,3.0,,,,4.0,1.0,3.0,19.0,12.0,7.0,121.1,108.3,142.9
2015,13401,690.0,363.0,327.0,683.0,356.0,327.0,12.0,7.0,5.0,5.0,,5.0,7.0,7.0,,678.0,356.0,322.0,101.0,102.0,100.0
2015,13402,19.0,10.0,9.0,14.0,6.0,8.0,5.0,4.0,1.0,,,,5.0,4.0,1.0,14.0,6.0,8.0,135.7,166.7,112.5
2015,13421,261.0,134.0,127.0,262.0,135.0,127.0,2.0,1.0,1.0,3.0,2.0,1.0,-1.0,-1.0,,259.0,133.0,126.0,99.6,99.3,100.0
2020,13000,1573582.0,806714.0,766868.0,1373261.0,709316.0,663945.0,256398.0,129199.0,127199.0,56077.0,31801.0,24276.0,200321.0,97398.0,102923.0,1317184.0,677515.0,639669.0,114.6,113.7,115.5
2020,13100,1069149.0,545507.0,523642.0,884026.0,454517.0,429509.0,251026.0,126179.0,124847.0,65903.0,35189.0,30714.0,185123.0,90990.0,94133.0,818123.0,419328.0,398795.0,120.9,120.0,121.9
2020,13101,59970.0,26799.0,33171.0,7046.0,3496.0,3550.0,54669.0,24188.0,30481.0,1745.0,885.0,860.0,52924.0,23303.0,29621.0,5301.0,2611.0,2690.0,851.1,766.6,934.4
2020,13102,12608.0,6138.0,6470.0,14224.0,7154.0,7070.0,2884.0,1207.0,1677.0,4500.0,2223.0,2277.0,-1616.0,-1016.0,-600.0,9724.0,4931.0,4793.0,88.6,85.8,91.5
2020,13103,42777.0,21036.0,21741.0,22244.0,11308.0,10936.0,26661.0,12790.0,13871.0,6128.0,3062.0,3066.0,20533.0,9728.0,10805.0,16116.0,8246.0,7870.0,192.3,186.0,198.8
2020,13104,70931.0,39835.0,31096.0,24192.0,12193.0,11999.0,54461.0,31264.0,23197.0,7722.0,3622.0,4100.0,46739.0,27642.0,19097.0,16470.0,8571.0,7899.0,293.2,326.7,259.2
2020,13105,62616.0,32399.0,30217.0,25836.0,13597.0,12239.0,44869.0,22983.0,21886.0,8089.0,4181.0,3908.0,36780.0,18802.0,17978.0,17747.0,9416.0,8331.0,242.4,238.3,246.9
2020,13106,16499.0,8522.0,7977.0,14285.0,7326.0,6959.0,6890.0,3531.0,3359.0,4676.0,2335.0,2341.0,2214.0,1196.0,1018.0,9609.0,4991.0,4618.0,115.5,116.3,114.6
2020,13107,21555.0,11385.0,10170.0,21592.0,11113.0,10479.0,6404.0,3530.0,2874.0,6441.0,3258.0,3183.0,-37.0,272.0,-309.0,15151.0,7855.0,7296.0,99.8,102.4,97.1
2020,13108,45235.0,24330.0,20905.0,51264.0,26490.0,24774.0,8926.0,5429.0,3497.0,14955.0,7589.0,7366.0,-6029.0,-2160.0,-3869.0,36309.0,18901.0,17408.0,88.2,91.8,84.4
2020,13109,40115.0,19658.0,20457.0,35369.0,18094.0,17275.0,15700.0,7063.0,8637.0,10954.0,5499.0,5455.0,4746.0,1564.0,3182.0,24415.0,12595.0,11820.0,113.4,108.6,118.4
2020,13110,32214.0,18648.0,13566.0,25380.0,13067.0,12313.0,15901.0,9969.0,5932.0,9067.0,4388.0,4679.0,6834.0,5581.0,1253.0,16313.0,8679.0,7634.0,126.9,142.7,110.2
2020,13111,56422.0,29710.0,26712.0,66501.0,34228.0,32273.0,9847.0,5448.0,4399.0,19926.0,9966.0,9960.0,-10079.0,-4518.0,-5561.0,46575.0,24262.0,22313.0,84.8,86.8,82.8
2020,13112,116747.0,60236.0,56511.0,98854.0,51680.0,47174.0,47807.0,24170.0,23637.0,29914.0,15614.0,14300.0,17893.0,8556.0,9337.0,68940.0,36066.0,32874.0,118.1,116.6,119.8
2020,13113,42833.0,17346.0,25487.0,17362.0,8650.0,8712.0,31560.0,11729.0,19831.0,6089.0,3033.0,3056.0,25471.0,8696.0,16775.0,11273.0,5617.0,5656.0,246.7,200.5,292.6
2020,13114,31060.0,15808.0,15252.0,24804.0,12721.0,12083.0,15261.0,7659.0,7602.0,9005.0,4572.0,4433.0,6256.0,3087.0,3169.0,15799.0,8149.0,7650.0,125.2,124.3,126.2
2020,13115,53240.0,25941.0,27299.0,51388.0,26145.0,25243.0,19870.0,8871.0,10999.0,18018.0,9075.0,8943.0,1852.0,-204.0,2056.0,33370.0,17070.0,16300.0,103.6,99.2,108.1
2020,13116,48566.0,25151.0,23415.0,23694.0,12096.0,11598.0,33476.0,17378.0,16098.0,8604.0,4323.0,4281.0,24872.0,13055.0,11817.0,15090.0,7773.0,7317.0,205.0,207.9,201.9
2020,13117,31577.0,15709.0,15868.0,29105.0,14999.0,14106.0,11633.0,5446.0,6187.0,9161.0,4736.0,4425.0,2472.0,710.0,1762.0,19944.0,10263.0,9681.0,108.5,104.7,112.5
2020,13118,17178.0,9506.0,7672.0,19969.0,10203.0,9766.0,3961.0,2737.0,1224.0,6752.0,3434.0,3318.0,-2791.0,-697.0,-2094.0,13217.0,6769.0,6448.0,86.0,93.2,78.6
2020,13119,52105.0,25477.0,26628.0,52236.0,26725.0,25511.0,15044.0,6410.0,8634.0,15175.0,7658.0,7517.0,-131.0,-1248.0,1117.0,37061.0,19067.0,17994.0,99.7,95.3,104.4
2020,13120,61948.0,32221.0,29727.0,77241.0,39739.0,37502.0,9680.0,5191.0,4489.0,24973.0,12709.0,12264.0,-15293.0,-7518.0,-7775.0,52268.0,27030.0,25238.0,80.2,81.1,79.3
2020,13121,55118.0,29532.0,25586.0,63488.0,32682.0,30806.0,7482.0,4701.0,2781.0,15852.0,7851.0,8001.0,-8370.0,-3150.0,-5220.0,47636.0,24831.0,22805.0,86.8,90.4,83.1
2020,13122,36318.0,19521.0,16797.0,43365.0,22523.0,20842.0,4856.0,3027.0,1829.0,11903.0,6029.0,5874.0,-7047.0,-3002.0,-4045.0,31462.0,16494.0,14968.0,83.7,86.7,80.6
2020,13123,61517.0,30599.0,30918.0,74587.0,38288.0,36299.0,6590.0,2468.0,4122.0,19660.0,10157.0,9503.0,-13070.0,-7689.0,-5381.0,54927.0,28131.0,26796.0,82.5,79.9,85.2
2020,13200,497592.0,257633.0,239959.0,480972.0,250374.0,230598.0,83536.0,42899.0,40637.0,66916.0,35640.0,31276.0,16620.0,7259.0,9361.0,414056.0,214734.0,199322.0,103.5,102.9,104.1
2020,13201,91749.0,51282.0,40467.0,69453.0,37155.0,32298.0,35694.0,21013.0,14681.0,13398.0,6886.0,6512.0,22296.0,14127.0,8169.0,56055.0,30269.0,25786.0,132.1,138.0,125.3
2020,13202,20718.0,10398.0,10320.0,19356.0,9902.0,9454.0,7000.0,3409.0,3591.0,5638.0,2913.0,2725.0,1362.0,496.0,866.0,13718.0,6989.0,6729.0,107.0,105.0,109.2
2020,13203,22719.0,10996.0,11723.0,15622.0,8005.0,7617.0,12672.0,5814.0,6858.0,5575.0,2823.0,2752.0,7097.0,2991.0,4106.0,10047.0,5182.0,4865.0,145.4,137.4,153.9
2020,13204,21649.0,10546.0,11103.0,22206.0,11324.0,10882.0,6617.0,2936.0,3681.0,7174.0,3714.0,3460.0,-557.0,-778.0,221.0,15032.0,7610.0,7422.0,97.5,93.1,102.0
2020,13205,10559.0,5336.0,5223.0,13338.0,6876.0,6462.0,934.0,410.0,524.0,3713.0,1950.0,1763.0,-2779.0,-1540.0,-1239.0,9625.0,4926.0,4699.0,79.2,77.6,80.8
2020,13206,27269.0,13994.0,13275.0,30965.0,15962.0,15003.0,5543.0,2754.0,2789.0,9239.0,4722.0,4517.0,-3696.0,-1968.0,-1728.0,21726.0,11240.0,10486.0,88.1,87.7,88.5
2020,13207,10203.0,5242.0,4961.0,12160.0,6240.0,5920.0,1789.0,945.0,844.0,3746.0,1943.0,1803.0,-1957.0,-998.0,-959.0,8414.0,4297.0,4117.0,83.9,84.0,83.8
2020,13208,26151.0,12755.0,13396.0,26092.0,13678.0,12414.0,8175.0,3424.0,4751.0,8116.0,4347.0,3769.0,59.0,-923.0,982.0,17976.0,9331.0,8645.0,100.2,93.3,107.9
2020,13209,56814.0,29666.0,27148.0,52587.0,27504.0,25083.0,17709.0,9200.0,8509.0,13482.0,7038.0,6444.0,4227.0,2162.0,2065.0,39105.0,20466.0,18639.0,108.0,107.9,108.2
2020,13210,18720.0,10764.0,7956.0,14067.0,7467.0,6600.0,9474.0,5743.0,3731.0,4821.0,2446.0,2375.0,4653.0,3297.0,1356.0,9246.0,5021.0,4225.0,133.1,144.2,120.5
2020,13211,25290.0,11632.0,13658.0,23570.0,12251.0,11319.0,8527.0,3018.0,5509.0,6807.0,3637.0,3170.0,1720.0,-619.0,2339.0,16763.0,8614.0,8149.0,107.3,94.9,120.7
2020,13212,20439.0,10734.0,9705.0,21656.0,11352.0,10304.0,5599.0,3035.0,2564.0,6816.0,3653.0,3163.0,-1217.0,-618.0,-599.0,14840.0,7699.0,7141.0,94.4,94.6,94.2
2020,13213,13634.0,7031.0,6603.0,16683.0,8665.0,8018.0,2255.0,1103.0,1152.0,5304.0,2737.0,2567.0,-3049.0,-1634.0,-1415.0,11379.0,5928.0,5451.0,81.7,81.1,82.4
2020,13214,14258.0,8006.0,6252.0,14237.0,7368.0,6869.0,5426.0,3352.0,2074.0,5405.0,2714.0,2691.0,21.0,638.0,-617.0,8832.0,4654.0,4178.0,100.1,108.7,91.0
2020,13215,12832.0,7114.0,5718.0,8673.0,4459.0,4214.0,7035.0,4139.0,2896.0,2876.0,1484.0,1392.0,4159.0,2655.0,1504.0,5797.0,2975.0,2822.0,148.0,159.5,135.7
2020,13218,4244.0,2274.0,1970.0,5006.0,2574.0,2432.0,775.0,505.0,270.0,1537.0,805.0,732.0,-762.0,-300.0,-462.0,3469.0,1769.0,1700.0,84.8,88.3,81.0
2020,13219,6183.0,3145.0,3038.0,8534.0,4459.0,4075.0,929.0,436.0,493.0,3280.0,1750.0,1530.0,-2351.0,-1314.0,-1037.0,5254.0,2709.0,2545.0,72.5,70.5,74.6
2020,13220,8206.0,4123.0,4083.0,9725.0,4999.0,4726.0,1434.0,680.0,754.0,2953.0,1556.0,1397.0,-1519.0,-876.0,-643.0,6772.0,3443.0,3329.0,84.4,82.5,86.4
2020,13221,8528.0,4086.0,4442.0,8496.0,4230.0,4266.0,2528.0,1080.0,1448.0,2496.0,1224.0,1272.0,32.0,-144.0,176.0,6000.0,3006.0,2994.0,100.4,96.6,104.1
2020,13222,10039.0,5131.0,4908.0,12629.0,6512.0,6117.0,1290.0,660.0,630.0,3880.0,2041.0,1839.0,-2590.0,-1381.0,-1209.0,8749.0,4471.0,4278.0,79.5,78.8,80.2
2020,13223,8181.0,4082.0,4099.0,8257.0,4232.0,4025.0,1841.0,848.0,993.0,1917.0,998.0,919.0,-76.0,-150.0,74.0,6340.0,3234.0,3106.0,99.1,96.5,101.8
2020,13224,17005.0,8390.0,8615.0,16397.0,8448.0,7949.0,5676.0,2566.0,3110.0,5068.0,2624.0,2444.0,608.0,-58.0,666.0,11329.0,5824.0,5505.0,103.7,99.3,108.4
2020,13225,9718.0,4285.0,5433.0,12455.0,6533.0,5922.0,1627.0,161.0,1466.0,4364.0,2409.0,1955.0,-2737.0,-2248.0,-489.0,8091.0,4124.0,3967.0,78.0,65.6,91.7
2020,13227,5012.0,2638.0,2374.0,6244.0,3169.0,3075.0,650.0,388.0,262.0,1882.0,919.0,963.0,-1232.0,-531.0,-701.0,4362.0,2250.0,2112.0,80.3,83.2,77.2
2020,13228,8025.0,4326.0,3699.0,8957.0,4667.0,4290.0,1646.0,1008.0,638.0,2578.0,1349.0,1229.0,-932.0,-341.0,-591.0,6379.0,3318.0,3061.0,89.6,92.7,86.2
2020,13229,19447.0,9657.0,9790.0,23607.0,12343.0,11264.0,3908.0,1688.0,2220.0,8068.0,4374.0,3694.0,-4160.0,-2686.0,-1474.0,15539.0,7969.0,7570.0,82.4,78.2,86.9
2020,13300,4519.0,2307.0,2212.0,5919.0,3142.0,2777.0,313.0,93.0,220.0,1713.0,928.0,785.0,-1400.0,-835.0,-565.0,4206.0,2214.0,1992.0,76.3,73.4,79.7
2020,13303,2605.0,1264.0,1341.0,3360.0,1717.0,1643.0,277.0,76.0,201.0,1032.0,529.0,503.0,-755.0,-453.0,-302.0,2328.0,1188.0,1140.0,77.5,73.6,81.6
