year,通学地コード,通学地,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
2020,13117,北区,26207.0,21081.0,20677.0,37.0,57.0,88.0,188.0,349.0,169.0,117.0,234.0,83.0,72.0,144.0,147.0,58.0,89.0,87.0,445.0,14574.0,575.0,1075.0,358.0,1102.0,352.0,277.0,5126.0,4965.0,146.0,70.0,41.0,3737.0,639.0,332.0,161.0
2020,13118,荒川区,13534.0,11864.0,11641.0,23.0,40.0,42.0,51.0,103.0,90.0,80.0,96.0,39.0,34.0,54.0,145.0,32.0,34.0,73.0,79.0,140.0,9573.0,78.0,95.0,433.0,188.0,119.0,1670.0,1645.0,106.0,14.0,10.0,602.0,582.0,331.0,25.0
2020,13119,板橋区,42030.0,34172.0,33251.0,43.0,59.0,65.0,224.0,327.0,70.0,76.0,203.0,83.0,78.0,110.0,192.0,63.0,185.0,235.0,540.0,994.0,182.0,26986.0,1749.0,385.0,158.0,244.0,7858.0,7464.0,309.0,177.0,182.0,5279.0,857.0,660.0,394.0
2020,13120,練馬区,48994.0,45594.0,43183.0,22.0,40.0,64.0,236.0,148.0,28.0,32.0,115.0,68.0,76.0,87.0,302.0,75.0,473.0,666.0,296.0,159.0,56.0,703.0,39314.0,85.0,41.0,97.0,3400.0,3183.0,134.0,58.0,65.0,1804.0,580.0,542.0,217.0
2020,13121,足立区,39580.0,35161.0,34834.0,8.0,29.0,15.0,18.0,44.0,123.0,223.0,159.0,32.0,23.0,65.0,74.0,18.0,26.0,39.0,52.0,219.0,380.0,98.0,90.0,32098.0,761.0,240.0,4419.0,4235.0,461.0,143.0,96.0,1725.0,1205.0,605.0,184.0
2020,13122,葛飾区,27687.0,25552.0,25348.0,6.0,14.0,14.0,21.0,36.0,42.0,221.0,109.0,34.0,18.0,79.0,65.0,7.0,21.0,44.0,25.0,55.0,136.0,50.0,56.0,850.0,22831.0,614.0,2135.0,2041.0,110.0,23.0,25.0,508.0,856.0,519.0,94.0
2020,13123,江戸川区,47644.0,44244.0,44055.0,4.0,61.0,14.0,35.0,20.0,63.0,311.0,805.0,37.0,7.0,56.0,51.0,14.0,17.0,26.0,17.0,51.0,94.0,47.0,45.0,407.0,819.0,41054.0,3400.0,3227.0,167.0,45.0,42.0,432.0,2222.0,319.0,173.0
2020,13200,市部,425076.0,369819.0,26979.0,174.0,248.0,511.0,875.0,517.0,226.0,310.0,813.0,624.0,642.0,1121.0,5230.0,823.0,1352.0,4700.0,572.0,559.0,281.0,905.0,4385.0,637.0,470.0,1004.0,55257.0,49725.0,1389.0,807.0,1002.0,14112.0,4727.0,27688.0,5532.0
2020,13201,八王子市,82362.0,65672.0,4514.0,25.0,47.0,61.0,143.0,99.0,55.0,78.0,175.0,149.0,127.0,286.0,735.0,100.0,201.0,523.0,125.0,158.0,70.0,236.0,552.0,177.0,128.0,264.0,16690.0,14557.0,418.0,253.0,344.0,4125.0,1186.0,8231.0,2133.0
2020,13202,立川市,17088.0,16344.0,298.0,,1.0,5.0,10.0,2.0,6.0,4.0,8.0,6.0,2.0,9.0,40.0,5.0,13.0,83.0,2.0,4.0,3.0,12.0,61.0,10.0,2.0,10.0,744.0,584.0,20.0,11.0,11.0,208.0,51.0,283.0,160.0
2020,13203,武蔵野市,20362.0,16843.0,4487.0,36.0,45.0,55.0,171.0,123.0,33.0,38.0,147.0,72.0,96.0,123.0,524.0,125.0,267.0,1160.0,99.0,69.0,47.0,115.0,871.0,73.0,66.0,132.0,3519.0,3190.0,133.0,71.0,70.0,1312.0,729.0,875.0,329.0
2020,13204,三鷹市,17976.0,16254.0,2142.0,15.0,32.0,32.0,56.0,41.0,18.0,31.0,52.0,38.0,58.0,62.0,505.0,66.0,106.0,473.0,35.0,36.0,16.0,43.0,278.0,52.0,25.0,72.0,1722.0,1492.0,70.0,40.0,35.0,558.0,278.0,511.0,230.0
