year,地域コード,流入人口／総数（人）,流入人口／都内他地域から（人）,流入人口／他道府県から（人）,流入人口／通勤者／総数（人）,流入人口／通勤者／都内他地域から（人）,流入人口／通勤者／他道府県から（人）,流入人口／通学者／総数（人）,流入人口／通学者／総数／うち15歳以上(人),流入人口／通学者／都内他地域から（人）,流入人口／通学者／都内他地域から／うち15歳以上(人),流入人口／通学者／他道府県から（人）,流入人口／通学者／他道府県から／うち15歳以上(人),流出人口／総数（人）,流出人口／都内他地域へ（人）,流出人口／他道府県へ（人）,流出人口／通勤者／総数（人）,流出人口／通勤者／都内他地域へ（人）,流出人口／通勤者／他道府県へ（人）,流出人口／通学者／総数（人）,流出人口／通学者／総数／うち15歳以上(人),流出人口／通学者／都内他地域へ（人）,流出人口／通学者／都内他地域へ／うち15歳以上(人),流出人口／通学者／他道府県へ（人）,流出人口／通学者／他道府県へ／うち15歳以上(人),流入超過人口／総数（人）,流入超過人口／都内他地域（人）,流入超過人口／他道府県（人）,流入超過人口／通勤者／総数（人）,流入超過人口／通勤者／都内他地域（人）,流入超過人口／通勤者／他道府県（人）,流入超過人口／通学者／総数（人）,流入超過人口／通学者／総数／うち15歳以上(人),流入超過人口／通学者／都内他地域（人）,流入超過人口／通学者／都内他地域／うち15歳以上(人),流入超過人口／通学者／他道府県（人）,流入超過人口／通学者／他道府県／うち15歳以上(人)
2015,13215,23834.0,18750.0,5084.0,15253.0,12644.0,2609.0,8581.0,7013.0,6106.0,4723.0,2475.0,2290.0,25423.0,22940.0,2483.0,21883.0,19764.0,2119.0,3540.0,3103.0,3176.0,2765.0,364.0,338.0,-1589.0,-4190.0,2601.0,-6630.0,-7120.0,490.0,5041.0,3910.0,2930.0,1958.0,2111.0,1952.0
2015,13218,12076.0,10667.0,1409.0,11169.0,9779.0,1390.0,907.0,874.0,888.0,855.0,19.0,19.0,17907.0,16527.0,1380.0,15926.0,14775.0,1151.0,1981.0,1791.0,1752.0,1577.0,229.0,214.0,-5831.0,-5860.0,29.0,-4757.0,-4996.0,239.0,-1074.0,-917.0,-864.0,-722.0,-210.0,-195.0
2015,13219,7993.0,5341.0,2652.0,6973.0,4458.0,2515.0,1020.0,1004.0,883.0,868.0,137.0,136.0,29038.0,25154.0,3884.0,25149.0,21802.0,3347.0,3889.0,3412.0,3352.0,2935.0,537.0,477.0,-21045.0,-19813.0,-1232.0,-18176.0,-17344.0,-832.0,-2869.0,-2408.0,-2469.0,-2067.0,-400.0,-341.0
2015,13220,11077.0,9580.0,1497.0,9494.0,8063.0,1431.0,1583.0,1572.0,1517.0,1506.0,66.0,66.0,27760.0,25208.0,2552.0,24309.0,22082.0,2227.0,3451.0,3128.0,3126.0,2817.0,325.0,311.0,-16683.0,-15628.0,-1055.0,-14815.0,-14019.0,-796.0,-1868.0,-1556.0,-1609.0,-1311.0,-259.0,-245.0
2015,13221,12601.0,6746.0,5855.0,9587.0,5046.0,4541.0,3014.0,2703.0,1700.0,1493.0,1314.0,1210.0,23009.0,17446.0,5563.0,20068.0,15005.0,5063.0,2941.0,2744.0,2441.0,2277.0,500.0,467.0,-10408.0,-10700.0,292.0,-10481.0,-9959.0,-522.0,73.0,-41.0,-741.0,-784.0,814.0,743.0
2015,13222,14298.0,9955.0,4343.0,12845.0,8685.0,4160.0,1453.0,1132.0,1270.0,1018.0,183.0,114.0,38203.0,32931.0,5272.0,33105.0,28563.0,4542.0,5098.0,4705.0,4368.0,4015.0,730.0,690.0,-23905.0,-22976.0,-929.0,-20260.0,-19878.0,-382.0,-3645.0,-3573.0,-3098.0,-2997.0,-547.0,-576.0
2015,13223,14633.0,12658.0,1975.0,12625.0,10839.0,1786.0,2008.0,1946.0,1819.0,1760.0,189.0,186.0,18248.0,16540.0,1708.0,16054.0,14550.0,1504.0,2194.0,2039.0,1990.0,1846.0,204.0,193.0,-3615.0,-3882.0,267.0,-3429.0,-3711.0,282.0,-186.0,-93.0,-171.0,-86.0,-15.0,-7.0
2015,13224,45108.0,30228.0,14880.0,37303.0,26194.0,11109.0,7805.0,7040.0,4034.0,3530.0,3771.0,3510.0,43582.0,37434.0,6148.0,37714.0,32293.0,5421.0,5868.0,5418.0,5141.0,4782.0,727.0,636.0,1526.0,-7206.0,8732.0,-411.0,-6099.0,5688.0,1937.0,1622.0,-1107.0,-1252.0,3044.0,2874.0
2015,13225,13861.0,8312.0,5549.0,11983.0,7273.0,4710.0,1878.0,1831.0,1039.0,1017.0,839.0,814.0,32715.0,25266.0,7449.0,28170.0,21368.0,6802.0,4545.0,4101.0,3898.0,3544.0,647.0,557.0,-18854.0,-16954.0,-1900.0,-16187.0,-14095.0,-2092.0,-2667.0,-2270.0,-2859.0,-2527.0,192.0,257.0
2015,13227,14686.0,13057.0,1629.0,13911.0,12304.0,1607.0,775.0,640.0,753.0,620.0,22.0,20.0,18644.0,17025.0,1619.0,16258.0,14927.0,1331.0,2386.0,2243.0,2098.0,1963.0,288.0,280.0,-3958.0,-3968.0,10.0,-2347.0,-2623.0,276.0,-1611.0,-1603.0,-1345.0,-1343.0,-266.0,-260.0
