_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
150,1,25,分類不能の産業,2,13104,新宿区,14288,6952,796,996,7336,8292,3272,956,75
151,0,1,総数,2,13105,文京区,181535,104736,13291,20595,76799,143715,63266,66916,6072
152,1,2,第１次産業,2,13105,文京区,131,77,14,21,54,92,47,38,8
153,2,3,農業，林業,2,13105,文京区,126,73,14,21,53,88,46,35,8
154,3,4,うち農業,2,13105,文京区,118,67,14,21,51,80,39,29,7
155,2,5,漁業,2,13105,文京区,5,4,-,-,1,4,1,3,-
156,1,6,第２次産業,2,13105,文京区,26692,11302,1366,1821,15390,23229,11830,7839,1077
157,2,7,鉱業，採石業，砂利採取業,2,13105,文京区,11,40,3,1,-29,7,3,36,2
158,2,8,建設業,2,13105,文京区,7481,2807,289,521,4674,6552,3576,1878,222
159,2,9,製造業,2,13105,文京区,19200,8455,1074,1299,10745,16670,8251,5925,853
160,1,10,第３次産業,2,13105,文京区,149643,89672,11382,18299,59971,118151,50341,58180,4918
161,2,11,電気・ガス・熱供給・水道業,2,13105,文京区,418,326,18,11,92,385,201,293,31
162,2,12,情報通信業,2,13105,文京区,21479,12373,2536,1208,9106,17594,8208,8488,314
163,2,13,運輸業，郵便業,2,13105,文京区,2665,2299,147,293,366,2134,966,1768,203
164,2,14,卸売業，小売業,2,13105,文京区,23818,12789,1436,2693,11029,19362,9365,8333,565
165,2,15,金融業，保険業,2,13105,文京区,6419,6670,323,290,-251,5744,2845,5995,247
166,2,16,不動産業，物品賃貸業,2,13105,文京区,5032,4776,1484,676,256,2665,1131,2409,162
167,2,17,学術研究，専門・技術サービス業,2,13105,文京区,11996,11417,2730,1158,579,7950,3648,7371,472
168,2,18,宿泊業，飲食サービス業,2,13105,文京区,9855,4731,459,1636,5124,7554,3229,2430,110
169,2,19,生活関連サービス業，娯楽業,2,13105,文京区,4982,2418,401,544,2564,3949,1690,1385,151
170,2,20,教育，学習支援業,2,13105,文京区,21442,8174,704,3088,13268,17541,6958,4273,718
171,2,21,医療，福祉,2,13105,文京区,21299,12767,409,4648,8532,16084,4758,7552,1514
172,2,22,複合サービス事業,2,13105,文京区,432,171,3,51,261,370,119,109,3
173,2,23,サービス業（他に分類されないもの）,2,13105,文京区,15889,6947,702,1541,8942,13426,5811,4484,210
174,2,24,公務（他に分類されるものを除く）,2,13105,文京区,3917,3814,30,462,103,3393,1412,3290,218
175,1,25,分類不能の産業,2,13105,文京区,5069,3685,529,454,1384,2243,1048,859,69
176,0,1,総数,2,13106,台東区,185207,91690,14799,20184,93517,144857,75192,51340,5210
177,1,2,第１次産業,2,13106,台東区,92,52,8,12,40,71,40,31,9
178,2,3,農業，林業,2,13106,台東区,89,50,8,12,39,68,38,29,8
179,3,4,うち農業,2,13106,台東区,87,49,8,12,38,66,36,28,8
180,2,5,漁業,2,13106,台東区,3,2,-,-,1,3,2,2,1
181,1,6,第２次産業,2,13106,台東区,35417,13589,2583,3114,21828,29285,16453,7457,1259
182,2,7,鉱業，採石業，砂利採取業,2,13106,台東区,16,26,3,1,-10,11,4,21,-
183,2,8,建設業,2,13106,台東区,10539,3602,568,781,6937,9011,5396,2074,328
184,2,9,製造業,2,13106,台東区,24862,9961,2012,2332,14901,20263,11053,5362,931
185,1,10,第３次産業,2,13106,台東区,143726,73073,11464,16533,70653,113758,57863,43105,3868
186,2,11,電気・ガス・熱供給・水道業,2,13106,台東区,980,315,17,22,665,939,470,274,36
187,2,12,情報通信業,2,13106,台東区,15784,10279,2335,716,5505,12628,7218,7123,385
188,2,13,運輸業，郵便業,2,13106,台東区,6632,2967,170,482,3665,5863,3439,2198,299
189,2,14,卸売業，小売業,2,13106,台東区,43537,16100,2521,5215,27437,35281,18360,7844,693
190,2,15,金融業，保険業,2,13106,台東区,5436,3428,189,242,2008,4954,2637,2946,187
191,2,16,不動産業，物品賃貸業,2,13106,台東区,6510,3999,1258,795,2511,4289,2136,1778,156
192,2,17,学術研究，専門・技術サービス業,2,13106,台東区,12042,6786,1640,849,5256,9438,5158,4182,402
193,2,18,宿泊業，飲食サービス業,2,13106,台東区,13584,6723,1034,2768,6861,9508,3969,2647,137
194,2,19,生活関連サービス業，娯楽業,2,13106,台東区,5279,2819,546,713,2460,3895,1812,1435,168
195,2,20,教育，学習支援業,2,13106,台東区,5470,3375,314,594,2095,4508,1944,2413,393
196,2,21,医療，福祉,2,13106,台東区,9620,6894,320,2117,2726,7043,2733,4317,557
197,2,22,複合サービス事業,2,13106,台東区,528,159,3,42,369,476,224,107,9
198,2,23,サービス業（他に分類されないもの）,2,13106,台東区,14735,7203,1103,1546,7532,11809,5963,4277,252
199,2,24,公務（他に分類されるものを除く）,2,13106,台東区,3589,2026,14,432,1563,3127,1800,1564,194
200,1,25,分類不能の産業,2,13106,台東区,5972,4976,744,525,996,1743,836,747,74
201,0,1,総数,2,13107,墨田区,139100,129177,15931,28554,9923,89552,43162,79629,7216
202,1,2,第１次産業,2,13107,墨田区,118,106,13,38,12,66,33,54,6
203,2,3,農業，林業,2,13107,墨田区,116,104,13,38,12,64,32,52,5
204,3,4,うち農業,2,13107,墨田区,116,99,13,38,17,64,32,47,4
205,2,5,漁業,2,13107,墨田区,2,2,-,-,-,2,1,2,1
206,1,6,第２次産業,2,13107,墨田区,32422,22936,3666,5964,9486,22161,11667,12675,1771
207,2,7,鉱業，採石業，砂利採取業,2,13107,墨田区,6,29,5,-,-23,-,-,23,1
208,2,8,建設業,2,13107,墨田区,9109,6538,906,1416,2571,6474,3617,3903,565
209,2,9,製造業,2,13107,墨田区,23307,16369,2755,4548,6938,15687,8050,8749,1205
210,1,10,第３次産業,2,13107,墨田区,102037,101691,11625,21931,346,66264,30968,65918,5351
211,2,11,電気・ガス・熱供給・水道業,2,13107,墨田区,208,553,17,23,-345,158,79,503,57
212,2,12,情報通信業,2,13107,墨田区,9051,14913,3050,609,-5862,5291,3080,11153,581
213,2,13,運輸業，郵便業,2,13107,墨田区,6563,5956,364,1197,607,4796,2559,4189,556
214,2,14,卸売業，小売業,2,13107,墨田区,23971,20917,2166,5378,3054,15959,7853,12905,1067
215,2,15,金融業，保険業,2,13107,墨田区,5604,5287,243,493,317,4788,2433,4471,288
216,2,16,不動産業，物品賃貸業,2,13107,墨田区,4753,4726,1144,847,27,2623,1280,2596,200
217,2,17,学術研究，専門・技術サービス業,2,13107,墨田区,6288,8038,1785,795,-1750,3599,1878,5349,368
218,2,18,宿泊業，飲食サービス業,2,13107,墨田区,8001,7771,685,2666,230,4381,1567,4151,233
